"","NAME","DOBNEAR","DECEASEDNEAR","OCCUPATION","DESCRIPTION"
"540"," GREGORY THE ENLIGHTENER ",NA,"326"," Apostle of Armenia"""," Although Christianity reached Armenia before Gregory’s time, he is venerated as its national patron. Possibly of royal descent, he was brought up a Christian in Cappadocia, returned to his native land (far greater in extent than present-day Armenia), married and had two sons. After suffering persecution, he converted King Tiridates (314), and the country became officially Christian. Consecrated bishop in Caesarea, he set up his diocese at Ashtishat. He taught lay missionaries the Scriptures and Christian morality as well as Greek and Syria With the help of clergy from these two countries, he increased Church membership and organized the local church. His son Aristakes took part in the Council of Nicea and succeeded his father soon afterwards: the see was occupied by members of his own family until Isaac I (438) forbade married priests becoming bishops. In about 330 Gregory retired to a hermitage on Mount Manyea. He was found dead by a shepherd and buried at Throtan. There are many legends about him and writings attributed to him are probably spurious. But his cult spread into southern Italy through Armenian settlers and a Naples church claims some relics. Feast: 30 September. Bibl. SS. 7, 180-90; see also articles in Anal. Boll. 83 (1965), 233-90 and 60 (1942), 91-130; B.L.S. ix, 280-2; O. p. 711"
"541"," GREGORY THE WONDERWORKER THAUMATURGUS ","213","270"," bishop"," This important and charismatic bishop, who links the time of the persecutions with that of the Cappadocian Fathers, has no satisfactory Life and few authentic works. From the sparse surviving evidence it appears that he was born of noble pagan parents at Neo-Caesarea (Pontus). He then studied law and rhetoric before going to Caesarea in 233 to complete his education. Here he became a Christian under the influence of Origen and stayed for five years. Soon after his return to Neo-Caesarea he became its bishop, although there were only seventeen Christians in the town. He took lodgings with the magnate Musonius, preached in the streets, and before nightfall had a small congregation. Next day a crowd of sick people arrived, many of whom he cure Soon he built a church thanks to the money and labour contribute Both *Basil and *Gregory of Nyssa give examples of his supposed miracles: these included altering the course of a river, drying up a swamp, and moving a mountain. Evidently such stories have lost nothing in the telling; more credible are his success in converting the pagans and his skill in clear exposition of the Christian faith, memorized by *Macrina the Elder and passed on to her children and grandchildren. Basil also described Gregory’s characteristics: reverence and recollection in prayer, simplicity and modesty in speech, and the elimination of lies, falsehood, anger, and bitterness. The problems faced by this pioneer bishop were manifol When the persecution of Decius broke out in 250, he advised the Christians to flee rather than risk apostasy; he himself retired into the desert. After persecution came the plague and then an invasion of Goths; later still he defended the orthodox faith against Paul of Samosata and others at the first Synod of Antioch (265). Shortly before his death he asked how many unbelievers remained in his city. He was told that there were but seventeen, exactly the same number as that of the Christians at the start of his episcopate. He then prayed for their conversion and asked his followers not to arrange any special place of burial for him. Eventually his body was translated to Calabria, which accounts for his cult in southern Italy and Sicily, where he is invoked in time of earthquake and floo His authentic works include a panegyric on Origen, a treatise on the Creed, a canonical epistle (mainly about penance in the early Church) and a dissertation to Theopompus on the impassibility of Go Feast: 17 November. Panegyric by Gregory of Nyssa in P.G., xlvi. 893-958; works e H. Crouzel (S., 1969) and F. Froidevaux, ‘Le symbole de Saint Grégoire le Thaumaturge’, Recherches de Sciences Religieuses, xix (1929), 193-247. See also A. Poncelet, ‘La vie latine de S. Grégoire le Thaumaturge’, Anal. Boll., i (1910), 132-60; W. Telfer, ‘The Cultus of St. Gregory Thaumaturgus’ in Harvard Theological Review, xxix (1936), 225-344; B.L.S., xi. 152-4; N.E., vi. 797-8"
"542"," GRIMBALD ","825","901",NA," Born at Thérouanne (Pas-de-Calais), he joined the community of Saint-Bertin 840 and was ordained priest 870. Grimbald became a notable scholar; he went to Reims in 886; through Fulk of Reims he was invited to England by King Alfred in 887. Here he lived in a small Winchester ‘monastery’, becoming a court-scholar who assisted Alfred with his translations of Latin works into OE, notably *Gregory’s Pastoral Care. Alfred wished him to become archbishop of Canterbury in 889, but Grimbald refuse Instead he became dean at Winchester of the secular canons of the New Minster. This was a townchurch, where prominent Winchester citizens had burial-rights; it was distinct from the cathedral and probably absorbed the small community which Grimbald had previously rule There Grimbald died and was buried; his relics, with those of *Judoc, were the most notable in this church. There were translations in 938, 1050, and again in 1110, when the whole establishment was moved out to Hyde. Grimbald’s cult centred at Winchester, was extended to Malmesbury and at least nine other Benedictine abbeys; his feast was in the calendars of York and Herefor The extent of Grimbald’s achievements is partly dispute It seems probable that he brought to England the 9th-century MS of Prudentius, now at Corpus Christi College, Cambridge; it has also been conjectured that he brought the famous Utrecht Psalter. His interpolated Legend (from Hyde) provides the earliest legendary account of the foundation of Oxford University. Feast: 8 July. AA.SS. Iul. II (1721), 651 ff.; N.L.A., i. 500; P. Grierson, ‘Grimbald of St. Bertin’s’, E.H.R., lv (1940), 529-61; i, ‘The Relations between England and Flanders before the Norman Conquest’ in R. W. Southern (e), Essays in Medieval History (1968), 61-92; M. Biddle, ‘Felix Urbs Wintoniae’ in  Parsons (e), TenthCentury Studies (1975); J. B. L. Tolhurst, The Monastic Breviary of Hyde Abbey, s. 8 July (H.B.S., 1939)"
"543"," GUARDIAN ANGELS ",NA,NA," angels"""," Their existence was at least suggested in various OT texts and explicitly taught by Christ concerning children (Matt. 18: 10), and accepted by the early Christians concerning St. Peter (Acts 12: 15). This fundamentally Jewish belief has also some analogies in the writings of Plato (Phaedo 108B): it was made explicit by the Shepherd of Hermas (2nd century); patristic opinion was divided about it, but very early collects from the feast of *Michael in the Leonine Sacramentary refer to the angels as individual guardians. In England devotion to the angels, both in Anglo-Saxon times and later, was strong. Alcuin wrote of them as intercessors (his text is in the 11th-century Leofric Missal); Herbert of Losinga, bishop of Norwich (1119), specially praised them, while his contemporary, Reginald of Canterbury (like some Anglo-Saxon nuns of the 9th century), wrote prayers in their honour. Honorius Augustodunensis (1151) clarified the exisiting belief by asserting that each human soul, when infused into the body, is entrusted to the particular care of a single angel, who protects both body and soul and offers prayers to Go For many centuries Christendom was satisfied with the feast of St. Michael (and all Angels), but a special feast of the Guardian Angels was introduced in Austria, Spain, and Portugal in the 15th-16th centuries, whether as guardians of particular towns or regions, or of each individual. There is a record of a feast of the latter at Cologne in 1521. Paul V extended the authorization of this feast in 1608 and Clement X made it universal in 1607, fixing its date to 2 October, which replaced various earlier dates such as 28 September. AA.SS. Sept. VIII (1762), 7-8, 29-38 with Propylaeum, pp. 430-1; A. Wilmart, Auteurs spirituels (1932), pp. 537-58; J. Duhr in Dict. Sp., i (1937), 586-98; N.E, and O., s.v"
"544"," GUDULE GUDULA ","648","712",NA," Her mother Amalberga was a niece of the emperor Pepin. Gudule was educated by her cousin *Gertrude of Nivelles, after whose death she lived in Brabant, consecrating her life to prayer, fasting, and almsgiving. Although the church at Moorsel was two miles from her home, she used to pray there regularly in the early morning. She died in her hometown of Hamme and was buried in front of the church door. From there her relics were moved first to Moorsel, then to Brussels in 978 (to S. Gery’s church), lastly in 1047 to the large collegiate church of S. Michel (later called S. Gudule). There they remained until the Calvinists scattered them in 1579. In art she is usually represented with a lantern or a candle, which it was said the devil extinguished, but was subsequently reignited by divine power. The context of this story is the saint’s early morning visits to Moorsel. There are several 16th-century examples of these paintings in or near Brussels. Feast: 8 January. AA.SS. Ian. I (1734), 513-30 and R. Podevijn in Revue Belge de Philologie et d’Histoire, ii (1923), 619 ff. and xv (1936), 489-96; see also E. de Moreau, Histoire de l’Eglise en Belgique (1945) i. 197-200; B.T.A., i. 54; Bibl. SS., vii. 440-3"
"545"," GUDWAL ",NA,"550"," obscure Celtic abbot"," He was an early pioneer of Christianity in Brittany, where the islands of Locoal and Guer (Morbihan) are the probable sites of his hermitage and monastery as well as the main centres of his cult. He is sometimes, but incorrectly, claimed as first bishop of Saint-Malo. During the Viking invasions his relics were moved to St. Peter’s, Ghent, whence presumably his cult came to England; he is patron of Finstall (Worcester) and Worcester celebrated his feast at a fairly high rank. The church of Gulval (Cornwall) is also claimed to be dedicated to him. For long he was thought to have been British. Whytford described him as a bishop born of the noble blood of England, who resigned his bishopric and lived on a desolate rock where he built a monastery and gathered 188 monks ‘… he went to the sea at lowest ebb and charged it to keep that place and never flow nearer the monastery …he healed the sick, raised the dead and had revelations of angels’. It is possible, but not very likely that he came from Wales or Cornwall. Feast: 6 June (in Cornwall, 4 or 7 June). AA.SS. Jun I (1695), 715-36; N.L.A., 501-4; G. H. Doble, The Saints of Cornwall, i (1960), 61-78"
"546"," GUERIR ",NA,NA," mysterious saint"," Known only through a reference in Asser’s Life of Alfred to a visit by Alfred to Cornwall, during which he turns aside to pray in the church where ‘St. Guerir lies buried’. A later scribe added: ‘and where St. Neot now rests.’ Guerir may be a misreading for *Gwinear or a corruption of *Goran, a saint who left Bodmin at *Petroc’s arrival. Egbert, king of Wessex, had subdued at least part of Cornwall, allowing some Saxon penetration there, and Cornish estates were among those given by Alfred to Asser. But Guerir’s identity remains a mystery. Asser’s Life of King Alfred (e W. H. Stevenson) (1959),  74;  Whitelock, The Genuine Asser (1968)"
"547"," GUINOCH ",NA,"838"," Scottish saint"," Honoured specially in Buchan, he was believed to have been a counsellor of King Kenneth and to have aided by the efficacy of his prayers the annihilation of the Picts in seven skirmishes in one day. Feast: 13 April. K.S.S., p. 358"
"548"," GUTHLAC ","673","714"," among its devotees""","). Of royal blood from the Mercian tribe of Guthlacingas, he became a soldier (S.P. called him robustus depraedator) from the age of fifteen, but after nine successful years gave up warfare to be a monk at Repton, a double monastery where some Mercian kings were buried, ruled by abbess Ælfrith. He was rather unpopular at first because of his total abstinence from intoxicating drink; later he was better appreciate In about 701 he moved on to the solitary life at Crowland on a site accessible only by boat. Here his life resembled the regime of the Desert Fathers; annoyances included attacks by Britons who had taken refuge in the Fens, and violent temptations by devils; consolations were visions of angels and of his patron *Bartholomew the Apostle. After fifteen years as a hermit, he knew that his death was near. Edburga, abbess of Repton, sent him a shroud and a leaden coffin. His sister *Pega, an anchoress at Peakirk, came to his burial with his disciples *Cissa, *Bettelin, Egbert, and *Tatwin, who occupied cells near by. A year later the grave was opened and the body found incorrupt. The Guthlac cult began, centred on his shrine at Crowland, to which Pega had given his psalter and scourge. It soon became popular, with Wiglaf, king of Mercia (827-40), and Ceolnoth, archbishop of Canterbury (who was cured of ague by the saint in 851), among its devotees. The feast soon spread through Mercia to Westminster, St. Albans, and Durham and eventually became general. Besides the near-contemporary Latin Life by Felix, vernacular ones were written in OE prose and verse; at least nine ancient churches were dedicated to him. The cult flourished also in the 12th century. His relics were translated in 1136 in the abbey church built on the site of his cell and the shrine was embellished with gold, silver, and jewels. Yet another translation took place in 1196. A magnificent pictorial record of his life survives in the late 12th-century Harleian Roll Y.6 at the British Museum, usually called the Guthlac Roll. This is a series of eighteen roundels, which are cartoons for stained-glass windows. The scenes in it are based on Felix’s Life of Guthlac and, to a lesser extent, on pseudo-Ingulph’s history of Crowlan The style is especially vivid and no other comparable example survives in this country from the same date. Some 13th-century sculptures of his Life also survive at Crowlan A seal of Henry de Longchamp, abbot of Crowland 1191-1236, depicts St. Bartholomew giving Guthlac a scourge. This was not for self-flagellation but for use as a defensive and offensive weapon against diabolical attacks. Guthlac, after *Cuthbert, must be reckoned England’s most popular pre-Conquest hermit saint, but it must be admitted that a number of incidents in the Life by Felix are closely modelled on episodes in the life of *Antony the Hermit. Feast: 11 April; translation, 30 August; commemoration, 26 August. B. Colgrave (e), Felix’s Life of St. Guthlac (1956); W. de Gray Birch, Memorials of St. Guthlac of Crowland (1881: this includes the metrical Life by William of Ramsey, 1200);  W. Goodwin (e), The Life of St. Guthlac (1848), an OE prose Life, commented on by P. Gonser Das angelsachsische Prosa-Leben de hl. Guthlac (Anglistische Forschungen xxvii, 1909); for the OE poem Guthlac, The Exeter Book (e G. P. Krapp and E. V. K. Dobbie, 1936). Abridged Life in N.L.A., ii. 698-719. See also J. Roberts, ‘An Inventory of Early Guthlac Materials’, Medieval Studies, xxxii (1970), 193-233; B. P. Kurtz, ‘From St. Antony to St. Guthlac: a study in biography’, Univ. of California Publications in Modern Philology, xii (1925-6), 133-46; G. F. Warner, The Guthlac Roll (Roxburghe Club, 1928); see also N. Adkin, ‘The proem of Henry of Avranches’ Vita S. Guthlaci’, Anal. Boll., cviii (1990), 249-55"
"549"," GWEN OF CORNWALL ",NA,NA,NA," She was married to Selyf, king of Cornwall, was the mother of *Cybi and foundress of the church of St. Wenn. A few other churches may have been dedicated to her in Devon and Cornwall. Feast: 18 October"
"550"," GWEN TEIRBRON OF BRITTANY ",NA,NA,NA," She was reputedly married twice and the mother of *Winwaloe, Gwethenoc, and James. Called three-breasted, she was represented as such in Breton folk-art. It has been conjectured that she should be identified with *Whyte (or Candida). The word Gwen means ‘white’, Athelstan gave relics of various Breton saints to English churches; sculptures at Whitchurch (meaning ‘the Church of Wite’) represent a ship, pike, and axe, which may refer to characteristic elements in her incredbile legan Feast: 1 June (Roscarrock). Baring-Gould and Fisher, iii. 166-71"
"551"," GWENFAEN ",NA,NA," titular of the parish church there"""," About half a mile away are substantial remains of his well, contained inside a small square stone building. This probably represents, like the examples of *Seiriol and *Cybi, the primitive settlement of a hermit who later founded the local church, perhaps in the 7th century. A later dedication to an early saint is another possible explanation. An Inventory of the Ancient Monuments in Anglesey (1937), p. 146"
"552"," GWINEAR ",NA,NA," and a well near the church to which processions go on the day of the Pardon"""," He seems to have been a Welsh missionary like his companion *Meriasek, who with him evangelized the district of Gwinnear and Camborne, and later went to Brittany, where also their cults are found side by side. At Pluvigner, in the diocese of Vannes, there is a stained-glass window of Gwinear hunting a stag with a cross between its antlers (through confusion with the legend of *Eustace), and a well near the church to which processions go on the day of the Pardon. Guigner was supposed to have struck the ground with his lance, while thirsty, out hunting: three fountains sprang up, one for himself, one for his horse, and one for his dog. A Life was written by Anselm, perhaps a Cornish canon, 1300. According to this, Gwinear and his companions were martyred by Theodoric, king of Cornwall. Among the miracles recorded was one of two lovers who embraced while seated on the tomb of a bishop, one of Gwinear’s companions, and could not be disentangled until they were brought to Gwinear’s tomb. Feast. 23 March. G. H. Doble, The Saints of Cornwall, i (1960), pp. 100-10; AA.SS. Mar. III (1668), 455-9"
"553"," GWYN RICHARD ","1537","1584"," martyr"""," Born at Llanidloes (Montgomeryshire, now Powys), he was educated mainly at St. John’s College, Cambridge. He then returned home and became a schoolmaster at Overton (Flintshire, now Clywd), where he married and eventually had six children, of whom three survive As a recusant he was threatened with imprisonment by the bishop of Chester if he did not attend his local church: for a time he conformed but later repented, moved to Overstock, and opened another school. One day he was recognized in Wrexham, was arrested, but soon escape The next year (1580) the Privy Council told the bishops to be more vigilant against all recusants, especially schoolmasters. Only a month later, Gwyn was arrested again and imprisoned in Ruthin Castle. On his repeated refusal to conform, he was placed in irons; once he was forcibly taken to church in Wrexham, where he rattled his chains so loudly that the preacher could not make himself hear He was released, then fined for recusancy and fined again: when he could no longer pay, he was imprisoned and placed in the stocks. At his eighth assize in Wrexham he was accused of treason for reconciling one man to the Catholic Church (the evidence was both false and bought), and for maintaining the supremacy of the pope. He was finally condemned to death for refusing to recognize the queen as Head of the Church in Englan On the scaffold he acknowledged Elizabeth as the lawful queen of England, denied all treason, but still refused to admit she was Head of the Church. He was hanged, drawn, and quartered on 15 October, the protomartyr of Welsh recusants. He was canonized by Paul VI in 1970 as one of the *Forty Martyrs of England and Wales. Feast: 25 October. R. Challoner, Memoirs of Missionary Priests (e J. H. Pollen 1924), pp. 102-5; T. P. Ellis, Catholic Martyrs of Wales (1933); B.L.S., x. 176-81; Blessed Richard Gwyn (pamphlet, 1960)"
"554"," GWYNLLYW WOOLOS AND GWLADYS ",NA,"550"," pp"," Wales: Gwladys was one of the twenty-four children of *Brychan. Much of their life was given over to armed violence, but their son Cadoc converted them to a devout life. They settled at Stow Hill, near Newport (Gwent), where they lived austerely like monks; but their ascetical practice of cold-water bathing in the Usk, winter and summer alike, preceded and followed at night-time, it appears, by a mile-long walk in the nude, was brought to an end by Cadoc, who persuaded his parents to separate. Gwladys moved eventually to Pencanau in Bassaleg. Gwynllyw was visited on his death-bed by *Dyfrig: he died on 29 March. All these details come from a Life dating in its present form from the 12th century: it includes some interesting miracle stories from the times of *Edward the Confessor and William I. Several place-names and church dedications in the districts associated with these saints preserve their memory. Feast: (together) 29 March. A. W. Wade-Evans, Vitae Sanctorum Britanniae et Genealogiae (1944), pp. 173-93; N.L.A., i. 504-6"
"555"," GWYTHIAN ",NA,NA," parton of the parish of this name in N"," Cornwall and of an ancient ruined chapel in the sands near by, was probably associated with *Winwaloe, who settled near by at Towednack. Feast: 1 November. Baring-Gould and Fisher, iii. 249-51"
"556"," HALLVARD ",NA,"1043"," martyr and patron of Oslo"""," The son of a noble landholder of Husaby (Norway), he spent his youth in Viking activities. One day, crossing the Drammenfiord by boat, he was accosted by a woman who appealed to him to take her with him, as she was falsely accused of stealing and was in danger of death. Her pursuers then arrived and called on him peremptorily to give her up. He refused as he believed her to be innocent; whereupon they were both shot dead with a bow. Hallvard’s body was thrown in the sea with a stone attached, but it floated: he was revered as a martyr for defending an innocent person. His body was enshrined in a stone church in Oslo, whose patron he became and still remains. Feast: 4 May. B.L.S., v. 78-9; S. Undset, Saga of Saints (1934), pp. 149-62; Bibl. SS., i. 894"
"557"," HARDULPH ",NA,NA,NA,") whose feast was also kept by the Augustinians of Nostell. He may, perhaps, be identified with the hermit of Breedon who appears in the Life of *Modwenna. Feast: 6 August (?). Stanton, p. 404"
"558"," HEDDA HAEDDI OF PETERBOROUGH ",NA,"870"," abbot and martyr"," Together with all his community, supposedly eighty-four in number, Hedda was killed by the same Danish army which had killed *Edmund of East Anglia the same year. While the monastic chroniclers regarded these Danish armies as militant pagans, killing the Christians for their religion, some modern historians assert that it was rather love of booty which motivated them. In the later Middle Ages the ‘Hedda stone’ stood in the cemetery over the grave of Hedda and his companions; holes were cut to place candles for saying Mass on it, a custom supposedly started by abbot Godri Seventeenth-century visitors used to put their fingers in these holes, perhaps to take dust as a souvenir. Feast: 10 April. A.S., s.a. 870 (‘E’ version); B.T.A., ii. 62; Stanton, pp. 150-1"
"559"," HEDDA HAEDDI OF WINCHESTER ",NA,"705",NA," He was the first bishop of the West Saxons to reside at Winchester instead of Dorchester-on-Thames, founded by *Birinus. This change corresponded to the emergence of Southampton-based Saxons as more powerful than the settlers of the Thames Valley. His episcopate spanned the reigns of Centwine, Caedwalla (who expelled him but died at Rome 689), and Ina (726), who explicitly acknowledged Hedda’s help in framing his laws. *Bede remarked on Hedda’s prudence and innate wisdom. Little is known of his episcopate except his translation of the relics of Birinus to Winchester and the high esteem he enjoyed from contemporaries. This was reflected in the reports of cures at his tomb and the practice of taking dust from it, mixed with water, to heal sick men and animals. His relics are still in Winchester cathedral. He was culted in Wessex monasteries, but also at Crowland, where he was believed to have ordained *Guthlac; in the 16th century his name was added to R.M. by Baronius. Feast: 7 July. Bede, H.E., iii. 7; iv. 12; v. 18; G.P., p. 159; AA.SS. Iul. II (1721), 482-3 and Propylaeum, p. 275; E.B.K. before 1100, pp. 120, 134, 148, 162, 260"
"560"," HEDWIG JADWIGA ","1174","1243"," duchess of Silesia"""," Born at Andechs (Bavaria), the daughter of count Berthold, she lived as a child in the monastery of Kitzingen. At the age of twelve she married Henry, future duke of Silesia, then eighteen years old, who succeeded his father in 1202. By him she had seven children, from whose quarrels she suffered much. She was prominent in founding religious houses, notably those of Friars, and a Cistercian nunnery at Trebnitz (near Breslau), the first convent of women in Silesia. Convict labour was employed to build it. After 1209, from which time she and Henry lived in continence, she made her home nearby and took the Cistercian habit after his death in 1238. Henry was involved in wars, notably in 1227-8 against Swatopluk of Pomerania and Conrad of Masovia. When he was captured, she acted as peacemaker; the two dukes were reconciled and her two grand-daughters were betrothed to Conrad’s sons. In 1240 her son Henry led his troops against the Tartar invaders and died at the battle of Wahlstadt. She comforted her daughter and daughter-in-law, knowing of the death by prophecy long before it was announce Her biographers claimed other prophecies and miracles for her while still alive. She died and was buried at Trebnitz and was canonized in 1267. Feast: 16 October. AA.SS. Oct. VIII (1853), 198-270; modern Lives by K. and F. Metzger (1927) and H. Quillus (1938); see also B.L.S., x. 105 and Bibl. SS., iv. 933-4"
"561"," HEDWIG ",NA,"1399"," pp"," Born in Buda (Hungary), the daughter of Louis, king of Hungary and Poland, she was treated as a pawn in dynastic marriage politics from an exceptionally early age. At the age of one she was betrothed to Wilhelm, Hapsburg heir to the Grand Duchy of Austria, aged five. But unexpected early deaths of her sister and her father, followed by considerable diplomatic and political intrigue, resulted in Hedwig being chosen by the Poles as queen and she arrived in Poland, aged ten, in 1384. She was crowned the same year, and it was decided that she should marry Jagiello, Grand Duke of Lithuania and Ruthenia, not yet a Christian. The Hapsburgs attempted to claim her as the wife of Wilhelm but she refuse After Jagiello (aged thirty-six) was baptized with his principal noblemen at Cracow in 1386, Hedwig married him. The result was the emergence of Poland, Lithuania, and Ruthenia into a strong political unit able to resist both Russian and German expansion. The Hapsburgs replied by claiming that Hedwig was an adulteress and Jagiello a usurper, and that Wilhelm had consummated their ‘marriage’. These slanders damaged Hedwig’s reputation even after papal praise for the royal couple and Boniface IX’s promise to be godfather to their future chil Jagiello meanwhile took a personal part in the Christianizing of Lithuania, destroying pagan temples and shrines. Royal decrees ordered baptism, but force was not use But baptisms in large numbers took place after sometimes slight instruction. When the Vilnuis diocese was set up, Hedwig sent the cathedral chalices, vestments, and paintings, and endowed a college to train Lithuanian priests. She admired the Byzantine liturgy and attempted to unite her people through the use of Slavonic rites. In Cracow cathedral she endowed sixteen priests to sustain the Divine Office almost continuously. She also dealt with the dangerous Teutonic Knights by skilful negotiation. In 1399, expecting a child, she withdrew from public life. A daughter was born prematurely and she herself died four days later. She was buried in Wawel cathedral. Her will directed her goods to be sold for the benefit of Cracow University. Her cult spread quickly and her cause was opened in 1426, fostered by the conviction that her reign was a decisive point in the history of Poland and eastern Europe. She was beatified in 1986 and Pope John Paul II also canonized her in Cracow in 1997. Feast: 17 July. B. Przbyswewski, St. Jadwiga of Poland (trs. B. MacQueen, 1997); J. Braun (e) Poland in Christian Civilization (1985), pp. 211-44; B.L.S. vii, 138-40"
"562"," HELEN ","250","330"," empress"," She was born at Drepanum (later Helenopolis) in Bithynia, possibly an innkeeper’s daughter; 270 she married the Roman general Constantius Chlorus. When he became emperor in 292 he divorced her. But her son, later the Emperor Constantine, greatly honoured and respected her. In about 312, aged over sixty, she became a Christian, but was so devout that contemporaries thought she had been so since childhoo She dressed quietly, gave generously to churches, to the poor, and prisoners, and made a pilgrimage to the Holy Land, where she die Coins were minted in her honour (330); she was buried at Rome. Geoffrey of Monmouth (1154) claimed she was of British origin and the daughter of Coel, legendary king of Colchester; this was widely believed in England, but Trier also was claimed as her birthplace. She won renown as the mother of the first Christian emperor, but also because of her share, claimed by *Ambrose, in the Finding of the True Cross with its attendant miracles (see Cross). This story is the subject of Cynewulf’s finest poem, Elene (9th century). Helen’s feast was kept in several southern English monasteries, but dedications to her, 135 in all, were more frequent in the north-east, possibly because of Constantine’s connection with York. Various place-names such as St. Helens (Lancs.) and St. Helens (I.W.) reflect the development of a town around her churches. But the Atlantic island of St. Helena was so called because it was discovered by Spanish sailors on her feast. In art she is depicted in the many representations of the Finding of the Cross; at Ashton-under-Lyne (Lancs.) there survives a series of eighteen stained-glass panels which depict her life. The abbey of Hautvillers claimed her relics. Feast: in the East (with Constantine), 21 May; in the West, 18 August. AA.SS. Aug. III (1737), 548-654; P. Grosjean, ‘Codicis Gothani Appendix’, Anal. Boll., lviii (1940), 199-203; S.P.; F. Nau, ‘Les Constructions palestiniennes dues à Sainte Hélène’, Revue de l’Orient Chrétien, x (1905), 162-88. E.  Hunt, Holy Land Pilgrimage in the Later Roman Empire (1982); J. W. Drijvers, Helena Augusta: the mother of Constantine … and the Legend of her Finding the True Cross (1992)"
"563"," HELEN OF CARNARVON ",NA,NA,NA," Apparently she accompanied her husband, staying some time at Trier before his death in Aquileia. Welsh tradition attributes to her the making of roads (Sarn Elen or Fford Elen) and leading a military expedition into North Wales. She was reputed to have five children, one of whom was called Constantine. She may be the patroness of some Welsh churches dedicated to Helen, and of Llanelen in West Gower. Feast: 22 May or 25 August. See previous entry. Baring-Gould and Fisher, iii. 255-60; B.T.A., iii. 346"
"564"," HELEN OF CORNWALL ",NA,NA," priest"," Brother of *Germoe who in the company of *Breage first came to Cornwall, then crossed to Brittany, he was well received at Reims and finally settled at Bucciolus, near Biscuil, where he died and was burie He is probably the titular of Cornish churches dedicated to Helen. Feast: 7 (or 8) October. Baring-Gould and Fisher, iii. 253-4"
"565"," HELEN OF SKOVDE ",NA,"1160",NA," She was of aristocratic birth from Vaster-gôtland, was married young and widowed soon afterwards. She then devoted her wealth and work to the cause of religion and the service of the poor. On her return from a pilgrimage to the Holy Land she was killed by the relatives of her son-in-law for supposedly conniving at his death. Her body was buried at Skovde in the church which she had built. On the strength of the miracles claimed there Alexander III authorized her cult as a saint. Like some others who met a violent death in Scandinavia she was venerated as a martyr. Her cult was widespread in medieval Sweden and parts of Denmark such as Tusvilde (Zeeland), which claimed some relics: it is attested by surviving paintings and sculptures. She was regarded as the patron of Vastergôtland and even of all Sweden. Feast: 31 July. AA.SS. Iul. VII (1759), 343: Scriptores rerum Sueciarum, iii (part 2), 135-8; B.L.S., vii. 260-1; Bibl. SS., iv. 996-7"
"566"," HELIER ",NA,"550",NA,"). He was a hermit from Tongres (Belgium) who lived in a cave in Jersey above the town which bears his name. He was killed by pagans or robbers to whom he tried to preach the Gospel. He was associated with, and visited by, *Marcoul. Feast: 16 July (in England and the diocese of Coutances). AA.SS. Iul. IV (1868), 145-52; E. A. Pigeon, Vies des Saints du diocèse de Coutances, ii. 136-45; B.L.S., vii. 128-9"
"567"," HEMMING OF ABO ","1290","1366",NA," In 1329 he became a canon of Abo cathedral (Helsinki) and in 1339 its bishop. Although zealous for his diocese, he also travelled much, both over border disputes with Uppsala, from where *Henry of Finland had pioneered its conversion, but also through accompanying *Bridget of Sweden to France. This queen worked with Hemming’s help both to end the Hundred Years War between England and France and to end the residence of the popes in Avignon. Hemming’s diocesan synod of 1352 reveals his care for the proper celebration of the main feasts of the Church as well as those of the local saints of Scandinavia, *Henry, *Eric, and *Olaf. He was also concerned with the custody of the Eucharist, with the administration of Church property and with suppressing the payment of fees by poor people either for dispensations or for funerals. He died on 22 May and was buried at Abo cathedral. Miracles were recorded at his tomb and in 1514 the Holy See authorized the translation and enshrinement of his relics. A fine embroidered altar frontal survives in Finland, which depicts Hemming and Bridget together: an angel holds the mitre over his hea Feast: 22 May. Bibl. SS., vii. 584-6"
"568"," HENRY ",NA,"1127",NA," He then went to Tynemouth and agreed with the prior to settle on Coquet, an island which had had a community of monks in the age of *Bede and where *Cuthbert used to meet *Elfleda, abbess of Whitby. He lived in the simplest way, earning subsistence by looking after a garden, pursuing his chosen austerities in spite of discouragement from the monk who looked after the islan After some years a party of Danes tried to persuade him to return to his own country, where there was no lack of sites suitable for hermits. But after a night in prayer and the experience of a locution from the figure of Christ crucified, he decided to stay on. As his holiness became known, visitors became more numerous, attracted by his special gifts of prophecy, telekinesis, and reading the secrets of hearts. One interesting example of the last was his reproof and punishment of a man who had refused his wife sexual intercourse during Lent. Henry fell ill; with lack of care his illness increased, but so also did his cheerfulness in enduring it alone. Finally, he rang his hermit’s bell for help; when the monk arrived Henry was dead, holding the bellrope in one hand and a candle in the other. In spite of strong resistance from the islanders, the monks of Tynemouth took back his body to their monastery and buried it in the sanctuary, near their patron *Oswin. Feast: 16 January. His name occurs in later martyrologies but there is no surviving early record of his feast. AA.SS. Ian. II (1643), 424-6; N.L.A., ii. 22-6"
